director,count
Steve Paley,2
Luc Vinciguerra,2
Tyler Perry,2
R. Ellis Frazier,2
Steven Brill,2
Rizal Mantovani,2
Nicolás López,2
Osgood Perkins,2
Dan Gilroy,2
Julia Reichert,2
V Vignarajan,2
Ted Demme,2
Satish Kaushik,2
Ben Wallis,2
Joe DeMaio,2
Atanu Ghosh,2
Richard Rich,2
Shirley Frimpong-Manso,2
Pete Travis,2
James Wong,2
Brian Oakes,2
Hadi El Bagoury,2
Norman Jewison,2
Ben Wheatley,2
Blair Simmons,2
Mateo Gil,2
Mez Tharatorn,2
Suparn Verma,2
Ron Davis,2
Liz Garbus,2
Dallas Jackson,2
Ryan Murphy,2
Keoni Waxman,2
Matt Kugelman,2
Kenny Young,2
Jose Manuel Colón,2
Robert Kenner,2
Jacob Joice,2
Aitor Arregi,2
Alex Zamm,2
Taika Waititi,2
Eduardo Roy Jr.,2
Gore Verbinski,2
Miguel Cohan,2
Àlex Pastor,2
George Clooney,2
Ruel S. Bayani,2
Julien Leclercq,2
Sam Raimi,2
Randall Lobb,2
Michael Goguen,2
Keegan Kuhn,2
Stephen Chow,2
Luv Ranjan,2
Rajiv Menon,2
Navaniat Singh,2
Andrzej Bartkowiak,2
Charlie Lightening,2
Damián Romay,2
Michael D. Black,2
Andrew Duncan,2
James Wan,2
James McTeigue,2
Naoko Yamada,2
Simon Wincer,2
Ziad Doueiri,2
Sam Wrench,2
Ian Edelman,2
Shakti Samanta,2
Warren P. Sonoda,2
Yoshiyuki Momose,2
Martin Gorst,2
Michael Damian,2
Jerry Seinfeld,2
Alison Klayman,2
Mitch Schauer,2
Nicolas Pesce,2
M. Night Shyamalan,2
Hugues Nancy,2
Jehane Noujaim,2
Hajime Kamegaki,2
Morgan Spurlock,2
Bernie Denk,2
Scott Moore,2
Rebecca Zlotowski,2
Gareth Evans,2
Jerrold Tarog,2
Jani Lachauer,2
Fabien Beziat,2
Bille Woodruff,2
Erwin van den Eshof,2
Haifaa Al-Mansour,2
Vir Das,2
Anu Menon,2
Paul Solet,2
Daniel Mann,2
Federico Lemos,2
Cal Seville,2
Pang Ho-cheung,2
Yorgos Lanthimos,2
Chito S. Roño,2
Brad Anderson,2
Michael Showalter,2
Federico Veiroj,2
Weica Wang,2
Chris Sivertson,2
Jason Reitman,2
Angelina Jolie,2
Kevin MacDonald,2
Peter Orton,2
Guillermo del Toro,2
Will Yapp,2
Bruno Garotti,2
Ribhu Dasgupta,2
Harald Zwart,2
Ali F. Mostafa,2
Guy Ritchie,2
A.R. Murugadoss,2
Raditya Dika,2
Paul Andrew Williams,2
Ciarán Foy,2
Şenol Sönmez,2
Alex Proyas,2
Sangeeth Sivan,2
Daniel Kontur,2
Frank Rajah Arase,2
Scott Moran,2
Susannah Ward,2
Dominic Sena,2
Paul Weitz,2
Neill Blomkamp,2
Aaron Sorkin,2
Sudesh Manjrekar,2
Mar Targarona,2
Apoorva Lakhia,2
Anggy Umbara,2
Shivam Nair,2
Marcos Bucay,2
Bruce Beresford,2
Abhijit Panse,2
Rod Blackhurst,2
Sanjay Jadhav,2
Ari Sandel,2
Peter Berg,2
Kyran Kelly,2
Nick Broomfield,2
Alessandro Angulo,2
Meltem Bozoflu,2
David Dobkin,2
Hardik Mehta,2
Kemi Adetiba,2
Sze Yu Lau,2
Dave Higby,2
Herman Yau,2
Joram Lürsen,2
Brad Peyton,2
Jonathan Levine,2
Alex Timbers,2
Demetri Martin,2
David Sington,2
Alejandro Fernández Almendras,2
Dan Forrer,2
Eduardo Chauvet,2
Mahsun Kırmızıgül,2
Francesco Imperato,2
David E. Talbert,2
Jota Linares,2
Brian Volk-Weiss,2
Corey Yuen,2
Makarand Mane,2
Gary Howsam,2
Jung-ah Im,2
Dennis Dugan,2
Charlie McDowell,2
Erik Canuel,2
Audu Paden,2
Shin Won-ho,2
Dharmesh Darshan,2
Pierre Morel,2
Ian MacNaughton,2
Tigmanshu Dhulia,2
Tarek Al Eryan,2
Jon Garaño,2
Tony Scott,2
William Wyler,2
Andrew Niccol,2
Ksshitij Chaudhary,2
Adze Ugah,2
Daniel Stamm,2
Paco Plaza,2
Eric Radomski,2
Robert Zemeckis,2
Joyce Bernal,2
Steven C. Miller,2
Jay Chandrasekhar,2
Esteban Vidal,2
Nikhil Advani,2
Kunihiko Yuyama,2
Karen J. Lloyd,2
Les Mayfield,2
Vipul Amrutlal Shah,2
Luis Lopez,2
Ibrahim Bin Mohamed,2
Brad Bird,2
Andy Fickman,2
Keith Scholey,2
Stanley Tong,2
Parkpoom Wongpoom,2
Bonni Cohen,2
Tim Story,2
Peter Jackson,2
Kunal Kohli,2
Adam McKay,2
Michael Cuesta,2
Patrick Brice,2
Kyle Newacheck,2
Josh Safdie,2
Muharrem Gülmez,2
Susan Johnson,2
Iginio Straffi,2
Neil Jordan,2
Sridhar Rangayan,2
Mark Palansky,2
Mariano Cohn,2
Chad Van De Keere,2
Jill Bauer,2
Patricia Rozema,2
George C. Wolfe,2
Gus Van Sant,2
Wayne Blair,2
Rodrigo Van Der Put,2
Jonathan Mostow,2
Sachin,2
Jacob Kornbluth,2
Javier Ruiz Caldera,2
Everardo González,2
Nia Dinata,2
Simon J. Smith,2
Tsuyoshi Nakakuki,2
Kedar Shinde,2
Manolo Caro,2
Rian Johnson,2
Bill D'Elia,2
Heber Cannon,2
Girish Malik,2
Thierry Demaizière,2
Alexandre Avancini,2
Kasia Uscinska,2
James Ponsoldt,2
Jeremy Kenyon Lockyer Corbell,2
Hideaki Anno,2
Sam Taplin,2
Gregory Caruso,2
Nitesh Tiwari,2
Alex Díaz,2
Shakun Batra,2
Sean Cisterna,2
Jayson Thiessen,2
Tanuja Chandra,2
Scott Aukerman,2
Smeep Kang,2
Robin Swicord,2
Chris Bould,2
Nawapol Thamrongrattanarit,2
Soumendra Padhi,2
Duncan Jones,2
S.S. Wilson,2
James Bobin,2
James Yukich,2
Kareem Tabsch,2
David Fairhead,2
Claire Scanlon,2
David Paul Meyer,2
Thiru,2
Asghar Farhadi,2
Brian Klein,2
Alejandro Agresti,2
Damien O’Connor,2
Punit Malhotra,2
Reema Kagti,2
Eric Darnell,2
Chris Robinson,2
Ahmed Zain,2
Saratswadee Wongsomphet,2
April Mullen,1
Alejandro Hartmann,1
Abdul Aziz Hashad,1
Aleksey German,1
Wash Westmoreland,1
Bobby Roth,1
Jennifer Westcott,1
Surya S.J.,1
Jesús Magaña Vázquez,1
Gail Willumsen,1
John Milius,1
Rhiannon Bannenberg,1
Erol Özlevi,1
John Wells,1
Marc Francis,1
Sam Upton,1
Skye Borgman,1
Anthony Wonke,1
Danish Aslam,1
Peter Sattler,1
Van M. Pham,1
Mahin Ibrahim,1
Alana Waksman,1
Drea Cooper,1
Hang-Jun Jang,1
Mary Mazzio,1
Andy Caballero,1
Manjeet Singh,1
Joe Miale,1
Devaki Singh,1
Jitendra Tiwari,1
Ali Kalthami,1
Emilio Martínez Lázaro,1
Graham Phillips,1
Wong Kar Wai,1
Paulo Oriol,1
Greg Pritikin,1
Wouter Bouvijn,1
Pramod Pawar,1
Alejandro Martinez-Beltran,1
Gaby Dellal,1
Atul Malhotra,1
David Salzberg,1
Salima Koroma,1
B. Unnikrishnan,1
Alphonso J. Wesson,1
Frédéric Tonolli,1
Lauren Miller Rogen,1
Anthony Pierce,1
Lee Seung-won,1
Amandha Wyanto,1
Jim Stenstrum,1
Benny Fredman,1
Lester Hsi,1
Stacy Title,1
Jennifer Beamish,1
Jørgen Lerdam,1
Simon Frederick,1
Michael Kennedy,1
Pan Nalin,1
Kyle Newman,1
Daniel J. Clark,1
Jon Spira,1
Byun Hyuk,1
Seren Yüce,1
Pooja Bhatt,1
David Dietz,1
Dylan C. Brown,1
Phanindra Narsetti,1
Patrik Forsberg,1
Anand Kamalakar,1
Bolanle Austen-Peters,1
Simon Stone,1
Stephen Amezdroz,1
To-hoi Kong,1
Madonna,1
Geun-hyun Cho,1
Constance Marks,1
Michael Doneger,1
Timothy Ware-Hill,1
Zachary Heinzerling,1
Shagufta Rafique,1
Asri Bendacha,1
Wade Allain-Marcus,1
Michael Mayer,1
He Xiaofeng,1
Leïla Sy,1
Ofir Raul Graizer,1
Rodrigo Salomón,1
Ravishankar Venkateswaran,1
Ralph Macchio,1
Ísold Uggadóttir,1
Laura Alvea,1
Jody Lambert,1
Benoît Jacquot,1
Akhigbe Ilozobhie,1
Michał Tylka,1
Fouad Al Shatti,1
Kang Cheng,1
Raymie Muzquiz,1
Jijo Pancode,1
Terry Hughes,1
Shawn Crahan,1
Hatem Khraiche,1
Pawan Kripalani,1
Rowan Athale,1
Will Eubank,1
Mark Waters,1
Yvan Attal,1
Carlos Algara,1
Dan Kuenster,1
Harrison Smith,1
Jenny Carchman,1
David Palmer,1
Ti West,1
Michael Roberts,1
Jennifer Peedom,1
Syed Ahmed Shawki,1
Billy Bob Thornton,1
Zakariya,1
Meghan O'Hara,1
Chen Rong-hui,1
Chad Archibald,1
Matthew Robinson,1
Park In-je,1
Rajesh Ganguly,1
Paul Taublieb,1
Reem Kherici,1
Hasraf Dulull,1
Tomasz Mandes,1
Kenny Leon,1
Teddy Chan,1
Jason James,1
Anna Wieczur-Bluszcz,1
Desingh Periyasamy,1
Steven Gomez,1
Sabu Varghese,1
Kevin R. Adams,1
Kiki Goshay,1
Rushmore DeNooyer,1
Jasmine D'Souza,1
Seth Henrikson,1
Raman Kumar,1
Elliot Hegarty,1
Charles Gozali,1
Mark Osborne,1
Grant Korgan,1
Choi Jin-seong,1
Archie Borders,1
Ayaan Mukherji,1
Alo Sarkar,1
