country,Genre
Mexico,"Crime TV Shows,Documentaries,Sci-Fi & Fantasy,Sports Movies,Classic & Cult TV,Independent Movies,TV Comedies,Music & Musicals,Romantic Movies,TV Dramas,Children & Family Movies,Stand-Up Comedy,Comedies,Kids' TV,Movies,Thrillers,International TV Shows,Spanish-Language TV Shows,Classic Movies,TV Sci-Fi & Fantasy,Action & Adventure,Dramas,Romantic TV Shows,International Movies,Horror Movies,Reality TV,Docuseries,LGBTQ Movies,TV Action & Adventure"
Mongolia,"Documentaries,International Movies"
Montenegro,"Dramas,International Movies"
Morocco,"Faith & Spirituality,Documentaries,Independent Movies,Action & Adventure,Dramas,International Movies"
Namibia,"Documentaries,Dramas,International Movies"
Nepal,"Action & Adventure,Comedies,Dramas,International Movies"
Netherlands,"British TV Shows,Crime TV Shows,Documentaries,Sci-Fi & Fantasy,Sports Movies,Thrillers,International TV Shows,TV Horror,Independent Movies,TV Comedies,Action & Adventure,Music & Musicals,Dramas,TV Dramas,Romantic Movies,International Movies,Children & Family Movies,Stand-Up Comedy,LGBTQ Movies,Comedies,TV Action & Adventure,Kids' TV"
New Zealand,"Documentaries,Sci-Fi & Fantasy,Sports Movies,International TV Shows,Independent Movies,TV Sci-Fi & Fantasy,Action & Adventure,TV Thrillers,Dramas,TV Dramas,International Movies,Children & Family Movies,Reality TV,Docuseries,Comedies,TV Action & Adventure,Kids' TV"
Nicaragua,Documentaries
Nigeria,"Documentaries,Thrillers,International TV Shows,Independent Movies,TV Comedies,Action & Adventure,Music & Musicals,Dramas,Romantic Movies,Romantic TV Shows,International Movies,TV Dramas,Horror Movies,Comedies"
Norway,"Science & Nature TV,Crime TV Shows,Documentaries,Thrillers,International TV Shows,TV Horror,Independent Movies,TV Comedies,Action & Adventure,TV Thrillers,Dramas,Romantic Movies,TV Dramas,International Movies,Romantic TV Shows,Horror Movies,Children & Family Movies,Docuseries,TV Mysteries,Comedies,TV Action & Adventure"
Pakistan,"Horror Movies,Crime TV Shows,Children & Family Movies,International TV Shows,Independent Movies,Action & Adventure,Music & Musicals,Comedies,Dramas,Romantic Movies,Romantic TV Shows,International Movies,TV Dramas"
Panama,"Documentaries,Sports Movies"
Paraguay,"Action & Adventure,International Movies"
Peru,"Horror Movies,Documentaries,Sports Movies,Comedies,Dramas,Romantic Movies,International Movies"
Philippines,"Documentaries,Sports Movies,Thrillers,International TV Shows,Independent Movies,Action & Adventure,Music & Musicals,Dramas,Romantic Movies,TV Dramas,International Movies,Horror Movies,Children & Family Movies,LGBTQ Movies,Comedies"
Poland,"Crime TV Shows,Documentaries,Sci-Fi & Fantasy,Thrillers,International TV Shows,Independent Movies,Classic Movies,Action & Adventure,Dramas,TV Dramas,Romantic Movies,International Movies,Horror Movies,Cult Movies,Docuseries,TV Mysteries,Comedies,TV Action & Adventure"
Portugal,"Sports Movies,Independent Movies,Comedies,Dramas,Romantic Movies,International Movies"
Puerto Rico,"Crime TV Shows,International TV Shows,Spanish-Language TV Shows"
Qatar,"Horror Movies,Children & Family Movies,Thrillers,Independent Movies,Comedies,Dramas,International Movies"
Romania,"Children & Family Movies,Documentaries,Sci-Fi & Fantasy,Thrillers,Music & Musicals,Comedies,Dramas,Romantic Movies,International Movies"
